Cloud_Cover,Season,Location,pc1_1,pc1_2,pc1_3,pc1_4,pc1_5,pc2_1,pc2_2,Weather_Type
3,3,0,-0.022751932548217627,-0.28251551396028285,0.1550459782801974,-0.003787194993967069,0.12125116675960096,-0.36505592562234085,-0.0015146214075633102,0
3,0,1,0.6570714557456785,-0.024082478243089844,-0.0505356164752927,-0.05843343263354886,-0.016893255283768296,-0.3212780367002868,0.03408589121972283,3
0,0,1,0.3385130172364813,-0.15804764685476397,0.09612887943939785,0.019583558033910098,0.03006013785565531,-0.43034615339472526,0.013999260166937089,3
2,2,0,-0.36178785177245953,0.12489934761928323,0.04189025646977507,0.01338475284183821,0.10952435050739612,0.11175234929840572,0.017255856623875854,1
3,0,1,-0.2623516614515547,0.08535094791437992,0.07809267813100795,-0.04798419855060265,-0.02064252853157668,0.22437533752721184,-0.020722136755094822,1
0,1,1,0.47274814022724443,-0.18761602994245252,-0.043686777908876595,0.13017492958660815,0.06463527033947078,-0.40178567785714603,-0.0021059994902103973,3
3,3,2,0.08837611918759422,-0.2555187014078136,0.5383325670283114,0.08840938917720648,-0.22499782168383287,-0.35398781325377093,-0.48256338572035,2
2,1,0,-0.27397850610022934,0.05248367065023163,0.048893204372320476,0.11590095075767504,0.11067010905549352,0.1035218081197602,0.001559901769592087,1
2,3,2,0.0004053770655053149,-0.1214344794417278,-0.05914890518402416,0.034387484625778064,-0.041953909084685825,-0.1077822458788717,-7.681861991459815e-05,0
2,3,1,-0.4885391236928002,0.11929828261330178,-0.060728249291551295,0.026699936165634208,-0.12557990893484125,0.2702530665499199,-0.01942003002868664,2
2,0,2,0.15841209445385418,0.45842331863293695,-0.15227412392886164,-0.0460308249312886,-0.07221553607942188,0.26998962927981596,-0.015117093620990674,1
2,2,0,-0.2816777143764302,0.11410160313546536,0.020819086718660673,-0.10644681400028792,0.22533182404833463,0.359049450142773,0.03151716679429528,1
2,3,2,0.09379397461706732,-0.1709250039199201,0.021316728694571963,0.16923081514846422,0.004274812204466988,-0.2925904373637621,0.015904214575140463,0
3,3,1,-0.18217140113498945,-0.1789212717258279,-0.17681226216597112,-0.06313973966564909,-0.01132374855881449,0.3332014595200431,0.003317191695457744,2
2,3,2,-0.28389619761953117,-0.07052897908729616,0.0757306054727479,-0.24793189566881912,0.013685495895892796,-0.022480659050934992,-0.0421883637011915,2
0,3,0,0.38235987909243385,-0.24754723171021714,-0.06569604374089172,-0.0008608360109510216,0.0251851386612241,-0.364908890866934,-0.003916260332789245,3
2,2,2,-0.10616074998512487,-0.23970761978217103,0.060445457855374696,-0.11361918490815402,0.07099906632377881,-0.1912504931003291,0.012089291112455047,0
2,1,2,-0.25727383666498654,-0.01055432386983357,-0.05785048610668703,0.07867396153570294,0.02937648047939931,0.2385573811756967,0.0478951762944696,1
2,2,0,-0.0016769439906410485,-0.31132367273489003,-0.1484453388233702,0.1673920309677187,0.042502278401638366,-0.09798605529989057,-0.1600860120130706,3
3,0,2,0.40541303715888144,-0.06686935106707415,-0.19824643073323106,0.012036610770737172,-0.03453827490571504,-0.40234931108620564,0.0071002830564877994,3
